"Wine";"link";"Link_wine"
"Ser Biagio Barco Reale di Carmignano 2018";"https://www.vivino.com/IT/en/artimino-ser-biagio-barco-reale-di-carmignano-2018/w/5479735";"https://www.wine-searcher.com/find/artimino+ser+biagio+barco+reale+di+carmignano/2018/#t4"
"Le Grance White Blend 2017";"https://www.vivino.com/IT/en/caparzo-le-grance-white-blend-2017/w/2065686";"https://www.wine-searcher.com/find/caparzo+le+grance+white+blend/2017/#t4"
"Il Grigio Chianti Classico Riserva 2018";"https://www.vivino.com/IT/en/san-felice-il-grigio-chianti-classico-riserva-2018/w/13145";"https://www.wine-searcher.com/find/san+felice+il+grigio+chianti+classico+riserva/2018/#t4"
"Plenum Costa Toscana 2018";"https://www.vivino.com/IT/en/tenuta-le-colonne-plenum-costa-toscana-2018/w/8842875";"https://www.wine-searcher.com/find/tenuta+le+colonne+plenum+costa+toscana/2018/#t4"
"Chianti Rufina 2020";"https://www.vivino.com/IT/en/fattoria-selvapiana-chianti-rufina-2020/w/1597138";"https://www.wine-searcher.com/find/fattoria+selvapiana+chianti+rufina/2020/#t4"
"Villa Antinori Pinot Bianco 2020";"https://www.vivino.com/IT/en/tenuta-monteloro-villa-antinori-pinot-bianco-2020/w/7403275";"https://www.wine-searcher.com/find/tenuta+monteloro+villa+antinori+pinot+bianco/2020/#t4"
"Toscana Lamelle 2020";"https://www.vivino.com/IT/en/il-borro-toscana-lamelle-2020/w/1205802";"https://www.wine-searcher.com/find/il+borro+toscana+lamelle/2020/#t4"
"Campo Ai Sassi Rosso di Montalcino 2020";"https://www.vivino.com/IT/en/tenuta-castelgiocondo-campo-ai-sassi-rosso-di-montalcino-rosso-di-montalcino-2020/w/20993";"https://www.wine-searcher.com/find/tenuta+castelgiocondo+campo+ai+sassi+rosso+di+montalcino+rosso+di+montalcino/2020/#t4"
"Botrosecco Maremma Toscana 2018";"https://www.vivino.com/IT/en/le-mortelle-botrosecco-maremma-toscana-2018/w/1204383";"https://www.wine-searcher.com/find/le+mortelle+botrosecco+maremma+toscana/2018/#t4"
"Villa Antinori Rosso 2019";"https://www.vivino.com/IT/en/antinori-tuscany-villa-antinori-rosso-2019/w/1656";"https://www.wine-searcher.com/find/antinori+tuscany+villa+antinori+rosso/2019/#t4"
"Belvento Cabernet Sauvignon (I Vini Del Mare) 2018";"https://www.vivino.com/IT/en/petra-belvento-cabernet-sauvignon-i-vini-del-mare-2018/w/3936714";"https://www.wine-searcher.com/find/petra+belvento+cabernet+sauvignon+i+vini+del+mare/2018/#t4"
"S.to Ippolito 2016";"https://www.vivino.com/IT/en/cantine-leonardo-da-vinci-s-to-ippolito-2016/w/15402";"https://www.wine-searcher.com/find/cantine+leonardo+da+vinci+s+to+ippolito/2016/#t4"
"Vivaio del Cavaliere Toscana Rosso 2019";"https://www.vivino.com/IT/en/castello-la-leccia-vivaio-del-cavaliere-toscana-rosso-2019/w/1417397";"https://www.wine-searcher.com/find/castello+la+leccia+vivaio+del+cavaliere+toscana+rosso/2019/#t4"
